iter	Passed	Remaining
0	173	172977
1	176	88009
2	179	59517
3	180	45034
4	182	36299
5	183	30480
6	185	26286
7	186	23133
8	188	20725
9	190	18816
10	192	17310
11	194	15977
12	195	14853
13	197	13888
14	198	13060
15	200	12317
16	202	11680
17	203	11112
18	204	10584
19	206	10118
20	207	9695
21	209	9306
22	210	8953
23	212	8622
24	214	8347
25	215	8073
26	216	7814
27	218	7600
28	220	7375
29	221	7166
30	223	6970
31	224	6790
32	226	6627
33	230	6543
34	232	6397
35	233	6253
36	235	6124
37	236	5990
38	238	5866
39	239	5753
40	241	5641
41	242	5539
42	245	5454
43	248	5397
44	249	5301
45	251	5216
46	256	5204
47	258	5123
48	259	5043
49	261	4962
50	263	4902
51	265	4831
52	267	4775
53	269	4713
54	271	4663
55	273	4606
56	274	4541
57	275	4479
58	277	4418
59	278	4361
60	279	4305
61	281	4254
62	282	4202
63	286	4194
64	289	4162
65	291	4119
66	292	4074
67	294	4035
68	295	3992
69	297	3950
70	299	3923
71	302	3899
72	304	3864
73	305	3824
74	306	3783
75	307	3744
76	309	3708
77	310	3673
78	312	3642
79	318	3661
80	320	3635
81	321	3602
82	322	3565
83	323	3532
84	325	3501
85	326	3470
86	327	3439
87	329	3416
88	331	3393
89	332	3364
90	333	3334
91	334	3306
92	336	3277
93	337	3250
94	338	3224
95	339	3198
96	340	3171
97	341	3146
98	342	3121
99	349	3147
100	351	3126
101	352	3103
102	353	3080
103	354	3056
104	355	3033
105	357	3011
106	358	2990
107	359	2973
108	361	2953
109	362	2933
110	363	2914
111	365	2894
112	366	2875
113	367	2856
114	368	2837
115	369	2818
116	370	2797
117	372	2783
118	373	2767
119	376	2758
120	377	2744
121	379	2729
122	380	2713
123	381	2698
124	383	2681
125	384	2665
126	385	2649
127	386	2634
128	387	2619
129	389	2606
130	391	2596
131	392	2582
132	393	2567
133	394	2552
134	396	2538
135	397	2525
136	398	2511
137	399	2497
138	401	2485
139	402	2474
140	404	2467
141	406	2455
142	407	2443
143	409	2431
144	410	2419
145	411	2407
146	412	2395
147	414	2383
148	415	2371
149	416	2359
150	417	2348
151	419	2341
152	421	2331
153	422	2319
154	423	2308
155	424	2297
156	425	2286
157	426	2275
158	428	2264
159	429	2253
160	429	2240
161	431	2230
162	432	2219
163	436	2226
164	439	2222
165	440	2212
166	442	2205
167	443	2195
168	444	2186
169	446	2177
170	448	2176
171	450	2168
172	452	2161
173	453	2153
174	454	2144
175	456	2135
